,,,,,,,,,,,,
,,,,,,,,,,,,
,Spatial,,,,Spatiotemporal,,,,Temporal,,,
Weather,Completion,Distance,Speed score,Steer score,Completion,Distance,Speed score,Steer score,Completion,Distance,Speed score,Steer score
1,23,204.607194,,,43,236.581743,,,12,112.049913,,
2,29,238.285056,,,44,223.483378,,,21,186.036266,,
3,26,179.556707,,,34,229.436915,,,16,140.454031,,
4,20,165.599038,,,35,234.400951,,,21,161.019011,,
5,20,166.493034,,,27,213.048123,,,16,118.671127,,
6,22,168.282981,,,34,250.897678,,,19,132.141439,,
7,9,102.493208,,,7,79.400157,,,6,65.870124,,
8,20,200.183247,,,39,232.266512,,,19,160.892702,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Spatial,Spatiotemporal,Temporal,,,,,,
,,Total completed episodes,,37.72%,58.71%,29.02%,,,,,,
,,Total distance driven before collision,,"1,336.41","1,530.71","1,308.94",,,,,,
,,Total steer score,,,,,,,,,,
,,,,,,,,,,,,
,,, Crossed_line_count,  Distance,   Speed,   Steer,Model,Epoch, Validation Loss,,,
,,Network,,,,,,,,,,
,,Spatial,4.154018,167.051189,3.426741,5.211477,9,23,0.07,,,
,,Spatiotemporal,4.073661,191.339079,3.350491,4.977823,13,16,0.058,,,
,,Temporal,3.890625,163.617528,6.461161,3.965563,25,26,0.092,,,
,,,,,,,,,,,,
,,,,    Distance,    Steer,     Speed,Targets reached count,Targets reached ,,,,
,,Network, Weather,,,,,,,,,
,,Spatial,0,210.40,4.91,3.63,23,41.07%,,,,
,,,1,192.29,4.95,3.46,29,51.79%,,,,
,,,2,176.39,5.30,3.90,26,46.43%,,,,
,,,3,160.03,5.47,3.39,20,35.71%,,,,
,,,4,157.63,5.50,3.08,20,35.71%,,,,
,,,5,154.11,5.30,2.95,22,39.29%,,,,
,,,6,108.74,5.50,3.50,9,16.07%,,,,
,,,7,176.82,4.76,3.51,20,35.71%,,,,
,,Spatiotemporal,0,225.51,4.74,3.31,43,76.79%,,,,
,,,1,235.30,4.45,3.50,44,78.57%,,,,
,,,2,213.81,4.62,4.18,34,60.71%,,,,
,,,3,203.39,4.66,3.75,35,62.50%,,,,
,,,4,187.45,4.78,3.94,27,48.21%,,,,
,,,5,201.01,4.68,3.70,34,60.71%,,,,
,,,6,51.53,7.09,1.20,7,12.50%,,,,
,,,7,212.72,4.80,3.22,39,69.64%,,,,
,,Temporal,0,209.35,3.94,10.84,12,21.43%,,,,
,,,1,205.90,3.92,10.30,21,37.50%,,,,
,,,2,172.57,4.34,6.62,16,28.57%,,,,
,,,3,167.02,4.01,5.81,21,37.50%,,,,
,,,4,152.72,4.20,6.21,16,28.57%,,,,
,,,5,148.82,3.95,5.58,19,33.93%,,,,
,,,6,79.18,3.39,1.85,6,10.71%,,,,
,,,7,173.37,3.96,4.49,19,33.93%,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,   Distance,    Steer,    Speed,Targets reached,,,,,
,,Network, Cars,,,,,,,,,
,,Spatial,0,184.526355,6.615843,4.211741,107,47.77%,,,,
,,,1,149.576024,3.807111,2.641741,62,27.68%,,,,
,,Spatiotemporal,0,225.71619,6.430674,3.866563,178,79.46%,,,,
,,,1,156.961968,3.524973,2.83442,85,37.95%,,,,
,,Temporal,0,172.817644,4.529991,7.931116,70,31.25%,,,,
,,,1,154.417412,3.401135,4.991205,60,26.79%,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,16,,,,
,,,,,,,,,,,,
,,,,   Distance,    Steer,     Speed,Targets reached,,,,,
,,Network, Track,,,,,,,,,
,,Spatial,0,80.852416,1.064937,1.221875,16,100.00%,,,,
,,,1,107.837318,1.143651,16.993125,14,87.50%,,,,
,,,2,57.193419,5.313811,0.655,1,6.25%,,,,
,,,3,30.56967,5.542169,0.62875,12,75.00%,,,,
,,,4,104.446716,5.196261,0.826875,14,87.50%,,,,
,,,5,129.558932,5.056865,1.235625,14,87.50%,,,,
,,,6,240.322327,5.729422,1.2725,1,6.25%,,,,
,,,7,128.965122,4.298837,0.305625,10,62.50%,,,,
,,,8,74.110364,7.848535,0.844375,8,50.00%,,,,
,,,9,77.404783,7.079635,1.185625,9,56.25%,,,,
,,,10,236.741023,5.379277,9.280625,4,25.00%,,,,
,,,11,263.239193,4.596786,8.201875,6,37.50%,,,,
,,,12,345.370198,5.02771,9.576875,8,50.00%,,,,
,,,13,136.191257,4.302649,0.59625,3,18.75%,,,,
,,,14,372.506539,4.404211,7.57625,7,43.75%,,,,
,,,15,283.28575,4.63553,7.79125,5,31.25%,,,,
,,,16,205.745063,6.264372,2.250625,2,12.50%,,,,
,,,17,139.546845,4.858403,0.893125,8,50.00%,,,,
,,,18,124.025684,5.809047,0.95375,5,31.25%,,,,
,,,19,117.005354,6.381374,1.33875,9,56.25%,,,,
,,,20,141.222997,6.359762,0.8525,1,6.25%,,,,
,,,21,127.608722,7.137891,1.38625,1,6.25%,,,,
,,,22,75.630058,5.730421,0.915625,11,68.75%,,,,
,,,23,274.845128,5.526521,7.97375,15,93.75%,,,,
,,,24,154.388411,4.607256,0.71,15,93.75%,,,,
,,,25,162.21658,3.996063,0.65,15,93.75%,,,,
,,,26,311.720914,5.318923,8.691875,15,93.75%,,,,
,,,27,174.882522,7.311037,1.14,14,87.50%,,,,
,,Spatiotemporal,0,78.342766,1.457162,1.955625,14,87.50%,,,,
,,,1,110.462646,0.990483,14.96625,5,31.25%,,,,
,,,2,47.700792,5.086189,0.92375,11,68.75%,,,,
,,,3,33.351155,4.419553,0.559375,8,50.00%,,,,
,,,4,100.814253,4.169774,0.886875,14,87.50%,,,,
,,,5,120.616194,5.385465,1.86,13,81.25%,,,,
,,,6,210.240925,6.25569,1.49875,9,56.25%,,,,
,,,7,253.550987,4.467125,1.248125,9,56.25%,,,,
,,,8,67.113799,6.047462,1.21625,8,50.00%,,,,
,,,9,91.196251,6.68293,2.063125,8,50.00%,,,,
,,,10,239.367755,5.018937,9.625625,7,43.75%,,,,
,,,11,257.286626,5.038661,7.215,8,50.00%,,,,
,,,12,358.289356,5.080081,4.461875,10,62.50%,,,,
,,,13,424.839345,3.606354,4.620625,10,62.50%,,,,
,,,14,332.416844,3.960569,4.284375,8,50.00%,,,,
,,,15,333.570826,4.212953,8.1425,8,50.00%,,,,
,,,16,222.664517,4.944373,2.663125,7,43.75%,,,,
,,,17,212.220322,3.86625,1.598125,4,25.00%,,,,
,,,18,149.231103,5.739601,1.589375,4,25.00%,,,,
,,,19,136.413151,6.294934,2.2675,6,37.50%,,,,
,,,20,103.066134,6.08245,1.20125,5,31.25%,,,,
,,,21,121.354582,6.439763,1.77125,5,31.25%,,,,
,,,22,65.188541,6.229575,1.38875,8,50.00%,,,,
,,,23,321.949623,5.17118,6.524375,15,93.75%,,,,
,,,24,260.273147,4.883683,1.191875,15,93.75%,,,,
,,,25,275.532797,5.374664,1.253125,4,25.00%,,,,
,,,26,291.898771,6.408918,5.4475,16,100.00%,,,,
,,,27,138.541006,6.064275,1.389375,14,87.50%,,,,
,,Temporal,0,77.867384,1.14119,4.54625,13,81.25%,,,,
,,,1,113.09045,0.772257,5.71875,3,18.75%,,,,
,,,2,74.249854,2.864318,1.294375,8,50.00%,,,,
,,,3,37.01065,3.61156,0,4,25.00%,,,,
,,,4,101.643812,4.176724,6.473125,1,6.25%,,,,
,,,5,125.076428,5.229418,3.17625,3,18.75%,,,,
,,,6,196.93903,4.117126,3.773125,1,6.25%,,,,
,,,7,158.984659,3.636802,2.28,2,12.50%,,,,
,,,8,88.344212,5.31467,2.2825,5,31.25%,,,,
,,,9,54.058656,4.609915,4.559375,2,12.50%,,,,
,,,10,164.762735,3.519485,15.386875,6,37.50%,,,,
,,,11,221.33121,3.335191,13.23625,2,12.50%,,,,
,,,12,165.36149,3.395512,18.721875,6,37.50%,,,,
,,,13,293.687262,3.32222,6.8275,1,6.25%,,,,
,,,14,280.396172,3.694046,10.79125,2,12.50%,,,,
,,,15,255.561922,3.385125,15.028125,7,43.75%,,,,
,,,16,188.467073,4.647404,6.1025,,,,,,
,,,17,188.062004,4.229727,6.065625,,,,,,
,,,18,199.863425,4.927825,3.505,,,,,,
,,,19,103.352787,4.67207,4.806875,,,,,,
,,,20,168.250203,5.135028,2.50375,,,,,,
